Site,Org,Repo,Regex,NewCollection,MergeKey
https://github.com,ansible-collections,amazon.aws,aws|amazon|ec2,FALSE,amazon
https://github.com,ansible-collections,ansible_collections_google,google|gce|gcp,FALSE,
https://github.com,ansible-collections,ansible.posix,,TRUE,
https://github.com,ansible-collections,ansible.network,,TRUE,
https://github.com,ansible-collections,ansible.windows,windows,FALSE,windows
https://github.com,ansible-collections,azure,azure,FALSE,azure
https://github.com,ansible-collections,checkpoint,check_?point,FALSE,
https://github.com,ansible-collections,cisco.asa,network/asa,FALSE,asa
https://github.com,ansible-collections,cloud.common,,TRUE,
https://github.com,ansible-collections,cloud.roles,,TRUE,
https://github.com,ansible-collections,community.asa,network/asa,FALSE,asa
https://github.com,ansible-collections,community.aws,aws|amazon|ec2,FALSE,amazon
https://github.com,ansible-collections,community.azure,azure,FALSE,azure
https://github.com,ansible-collections,community.cassandra,,TRUE,
https://github.com,ansible-collections,community.crypto,crypto,FALSE,
https://github.com,ansible-collections,community.digitalocean,digital_ocean,FALSE,
https://github.com,ansible-collections,community.docker,docker,FALSE,
https://github.com,ansible-collections,community.fortios,fortios,TRUE,
https://github.com,ansible-collections,community.general,,TRUE,
https://github.com,ansible-collections,community.grafana,grafana,FALSE,
https://github.com,ansible-collections,community.google,google|gce|gcp,FALSE,
https://github.com,ansible-collections,community.hashi_vault,,TRUE,
https://github.com,ansible-collections,community.kubernetes,kubernetes|k8s,FALSE,kubernetes
https://github.com,ansible-collections,community.kubevirt,kubevirt,FALSE,
https://github.com,ansible-collections,community.libvirt,,TRUE,
https://github.com,ansible-collections,community.molecule,,TRUE,
https://github.com,ansible-collections,community.mongodb,mongo,FALSE,
https://github.com,ansible-collections,community.mysql,mysql,FALSE,
https://github.com,ansible-collections,community.network,/network/,FALSE,
https://github.com,ansible-collections,community.okd,,TRUE,
https://github.com,ansible-collections,community.postgresql,postgres,FALSE,
https://github.com,ansible-collections,community.proxysql,,TRUE,
https://github.com,ansible-collections,community.qradar,,TRUE,
https://github.com,ansible-collections,community.rabbitmq,rabbitmq,FALSE,
https://github.com,ansible-collections,community.sops,,TRUE,
https://github.com,ansible-collections,community.routeros,routeros,FALSE,
https://github.com,ansible-collections,community.windows,windows,FALSE,windows
https://github.com,ansible-collections,community.vmware,vmware,FALSE,vmware
https://github.com,ansible-collections,community.yang,,TRUE,
https://github.com,ansible-collections,community.zabbix,zabbix,FALSE,
https://github.com,ansible-collections,kubernetes.core,,TRUE,kubernetes
https://github.com,ansible-collections,dellemc.enterprise_sonic,,TRUE,
https://github.com,ansible-collections,dellemc_networking.os10,dellos10,FALSE,
https://github.com,ansible-collections,dellemc_networking.os6,dellos6,FALSE,
https://github.com,ansible-collections,dellemc_networking.os9,dellos9,FALSE,
https://github.com,ansible-collections,eos,eos,FALSE,
https://github.com,ansible-collections,frr,frr,FALSE,
https://github.com,ansible-collections,hetzner.hcloud,hcloud,FALSE,
https://github.com,ansible-collections,ibm.spectrum_virtualize,,TRUE,
https://github.com,ansible-collections,ibm_zos_cics,,TRUE,
https://github.com,ansible-collections,ibm_zos_core,,TRUE,
https://github.com,ansible-collections,ibm_zos_ims,,TRUE,
https://github.com,ansible-collections,ibm_zos_sysauto,,TRUE,
https://github.com,ansible-collections,ios,ios[\W\._],FALSE,
https://github.com,ansible-collections,iosxr,iosxr,FALSE,
https://github.com,ansible-collections,junos,junos,FALSE,
https://github.com,ansible-collections,mellanox.onyx,onyx,FALSE,
https://github.com,ansible-collections,netapp,netapp,FALSE,
https://github.com,ansible-collections,netcommon,,TRUE,
https://github.com,ansible-collections,nxos,nxos,FALSE,
https://github.com,ansible-collections,openvswitch,ovs,FALSE,
https://github.com,ansible-collections,pureport,,TRUE,
https://github.com,ansible-collections,skydive,skydive,FALSE,
https://github.com,ansible-collections,trendmicro.deepsec,,TRUE,
https://github.com,ansible-collections,symantec.epm,,TRUE,
https://github.com,ansible-collections,vmware_rest,vmware,FALSE,vmware
https://github.com,ansible-collections,vmware,vmware,FALSE,vmware
https://github.com,ansible-collections,vyos,vyos,FALSE,
https://github.com,ansible-collections,splunk.es,,TRUE,splunk
https://github.com,ansible-collections,community.es,,TRUE,splunk
https://github.com,ansible-collections,splunk.enterprise_security,,TRUE,splunk
https://github.com,containers,ansible-podman-collections,,TRUE,
https://github.com,cloudscale-ch,ansible-collection-cloudscale,cloudscale,FALSE,
https://github.com,ngine-io,ansible-collection-cloudstack,cloudstack,FALSE,
https://github.com,ngine-io,ansible-collection-exoscale,exoscale,FALSE,
https://github.com,ngine-io,ansible-collection-vultr,vultr,FALSE,
https://github.com,openstack,ansible-collections-openstack,openstack,FALSE,
https://github.com,theforeman,foreman-ansible-modules,,TRUE,
